sample	chr	startpos	endpos	nMajor	nMinor
A32C-0019_CRUK_PC_0019_T1	1	10583	25592757	2	1
A32C-0019_CRUK_PC_0019_T1	1	25592787	25661112	1	0
A32C-0019_CRUK_PC_0019_T1	1	25661137	28176007	2	1
A32C-0019_CRUK_PC_0019_T1	1	28176034	31186551	0	0
A32C-0019_CRUK_PC_0019_T1	1	31186620	49459229	2	1
A32C-0019_CRUK_PC_0019_T1	1	49459245	53377125	0	0
A32C-0019_CRUK_PC_0019_T1	1	53377172	59078400	2	1
A32C-0019_CRUK_PC_0019_T1	1	59078561	59199297	1	0
A32C-0019_CRUK_PC_0019_T1	1	59199348	89872840	2	1
A32C-0019_CRUK_PC_0019_T1	1	89872877	89936570	1	0
A32C-0019_CRUK_PC_0019_T1	1	89936834	94885184	2	1
A32C-0019_CRUK_PC_0019_T1	1	94885324	95963735	0	0
A32C-0019_CRUK_PC_0019_T1	1	95963763	113587082	2	1
A32C-0019_CRUK_PC_0019_T1	1	113587216	121481132	3	2
A32C-0019_CRUK_PC_0019_T1	1	142545956	142916463	1	0
A32C-0019_CRUK_PC_0019_T1	1	142961643	143343629	3	1
A32C-0019_CRUK_PC_0019_T1	1	143344296	143663645	1	0
A32C-0019_CRUK_PC_0019_T1	1	143664074	165813121	2	2
A32C-0019_CRUK_PC_0019_T1	1	165813153	165901378	6	3
A32C-0019_CRUK_PC_0019_T1	1	165901384	174017402	2	2
A32C-0019_CRUK_PC_0019_T1	1	174017433	174418503	2	1
A32C-0019_CRUK_PC_0019_T1	1	174418684	186254257	2	2
A32C-0019_CRUK_PC_0019_T1	1	186254280	200953597	3	2
A32C-0019_CRUK_PC_0019_T1	1	200953712	249239465	2	2
A32C-0019_CRUK_PC_0019_T1	2	10587	76290403	2	2
A32C-0019_CRUK_PC_0019_T1	2	76290454	84816320	3	2
A32C-0019_CRUK_PC_0019_T1	2	84816384	89133752	2	2
A32C-0019_CRUK_PC_0019_T1	2	89133809	89908269	3	3
A32C-0019_CRUK_PC_0019_T1	2	89908278	127326819	2	2
A32C-0019_CRUK_PC_0019_T1	2	127326820	127673612	2	1
A32C-0019_CRUK_PC_0019_T1	2	127673670	156278431	2	2
A32C-0019_CRUK_PC_0019_T1	2	156278499	158624731	3	3
A32C-0019_CRUK_PC_0019_T1	2	158624749	158948947	5	3
A32C-0019_CRUK_PC_0019_T1	2	158948998	171308087	3	2
A32C-0019_CRUK_PC_0019_T1	2	171308128	171636534	1	0
A32C-0019_CRUK_PC_0019_T1	2	171636538	173415560	3	2
A32C-0019_CRUK_PC_0019_T1	2	173415706	175481295	1	0
A32C-0019_CRUK_PC_0019_T1	2	175481298	180011221	2	1
A32C-0019_CRUK_PC_0019_T1	2	180011374	180411521	1	0
A32C-0019_CRUK_PC_0019_T1	2	180411610	180422227	0	0
A32C-0019_CRUK_PC_0019_T1	2	180422251	180586586	1	0
A32C-0019_CRUK_PC_0019_T1	2	180586692	182069210	2	2
A32C-0019_CRUK_PC_0019_T1	2	182069224	182137785	1	0
A32C-0019_CRUK_PC_0019_T1	2	182137934	183877554	2	1
A32C-0019_CRUK_PC_0019_T1	2	183877565	191740197	3	2
A32C-0019_CRUK_PC_0019_T1	2	191740256	191866477	1	0
A32C-0019_CRUK_PC_0019_T1	2	191866485	228380955	3	2
A32C-0019_CRUK_PC_0019_T1	2	228381020	241740802	2	2
A32C-0019_CRUK_PC_0019_T1	2	241740835	243185846	3	2
A32C-0019_CRUK_PC_0019_T1	3	60157	9175102	2	1
A32C-0019_CRUK_PC_0019_T1	3	9175160	9247399	0	0
A32C-0019_CRUK_PC_0019_T1	3	9247424	9467699	1	1
A32C-0019_CRUK_PC_0019_T1	3	9467749	9543832	0	0
A32C-0019_CRUK_PC_0019_T1	3	9543906	9845166	2	1
A32C-0019_CRUK_PC_0019_T1	3	9845323	10240010	0	0
A32C-0019_CRUK_PC_0019_T1	3	10240011	33051654	1	1
A32C-0019_CRUK_PC_0019_T1	3	33051880	56415026	2	1
A32C-0019_CRUK_PC_0019_T1	3	56415096	56687353	3	1
A32C-0019_CRUK_PC_0019_T1	3	56687391	71049194	2	1
A32C-0019_CRUK_PC_0019_T1	3	71049221	73500927	1	0
A32C-0019_CRUK_PC_0019_T1	3	73500977	84129911	2	1
A32C-0019_CRUK_PC_0019_T1	3	84130117	98129401	2	2
A32C-0019_CRUK_PC_0019_T1	3	98129482	103211756	2	1
A32C-0019_CRUK_PC_0019_T1	3	103211854	119272235	2	2
A32C-0019_CRUK_PC_0019_T1	3	119272276	131535334	2	1
A32C-0019_CRUK_PC_0019_T1	3	131535374	132095034	2	2
A32C-0019_CRUK_PC_0019_T1	3	132095035	132567709	3	2
A32C-0019_CRUK_PC_0019_T1	3	132567713	188150959	2	2
A32C-0019_CRUK_PC_0019_T1	3	188151003	189217401	2	1
A32C-0019_CRUK_PC_0019_T1	3	189217498	197917378	2	2
